12.54	-0.56 
38.06	-0.42 
12.35	-0.41 
35.62	-0.39 
15.96	-0.38 
12.26	-0.38 
34.26	-0.38 
25.39	-0.35 
23.70	-0.35 
27.81	-0.34 
14.54	-0.30 
30.27	-0.30 
31.89	-0.28 
14.93	-0.28 
29.76	-0.26 
37.77	-0.26 
27.67	-0.26 
23.93	-0.25 
12.42	-0.25 
28.95	-0.25 
26.76	-0.24 
13.83	-0.23 
28.16	-0.23 
14.37	-0.22 
26.95	-0.22 
32.30	-0.21 
26.68	-0.20 
17.37	-0.20 
18.66	-0.19 
5.91	-0.18 
15.24	-0.17 
14.73	-0.17 
26.68	-0.17 
16.06	-0.15 
26.74	-0.15 
31.80	-0.14 
12.82	-0.13 
17.42	-0.13 
16.73	-0.12 
27.61	-0.12 
31.18	-0.12 
16.14	-0.11 
16.55	-0.11 
26.48	-0.11 
11.91	-0.10 
21.92	-0.10 
18.91	-0.10 
15.42	-0.10 
15.06	-0.10 
26.46	-0.10 
27.15	-0.09 
20.86	-0.09 
14.66	-0.08 
17.34	-0.08 
23.34	-0.07 
14.84	-0.06 
22.02	-0.05 
15.93	-0.05 
62.58	-0.05 
15.89	-0.05 
24.49	-0.04 
28.78	-0.03 
23.44	-0.03 
22.71	-0.03 
22.20	-0.02 
25.36	-0.02 
12.84	-0.01 
26.08	0.01 
20.25	0.03 
10.12	0.08 
11.90	0.10 
8.24	0.11 
15.86	0.12 
9.35	0.15 
24.77	0.16 
25.89	0.28 
32.43	0.37 
7.56	0.38 
19.49	0.46 
5.49	0.56 
7.15	0.93 
	
